,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms,Category
97,honda,1068.0,10.0,6.0,2009,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,26.0,79.0,qat - losail international circuit,2601247.0,MotoGP
98,honda,762.0,8.0,6.0,2009,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,31.0,25.0,jpn - twin ring motegi,2636445.0,MotoGP
99,honda,607.0,8.0,6.0,2009,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,45.0,31.0,spa - circuito de jerez,2753182.0,MotoGP
100,honda,674.0,9.0,5.0,2009,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,wet,19.0,58.0,fra - le mans,2893133.0,MotoGP
101,honda,1047.0,8.0,6.0,2009,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,46.0,12.0,cat - circuit de barcelona-catalunya,2600833.0,MotoGP
102,honda,636.0,8.0,6.0,2009,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,45.0,32.0,cze - automotodrom brno,2610409.0,MotoGP
103,honda,530.0,10.0,6.0,2009,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,41.0,32.0,rsm - misano world circuit marco simoncelli,2699212.0,MotoGP
104,honda,876.0,5.0,9.0,2009,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,29.0,24.0,val - circuit ricardo tormo,2845917.0,MotoGP
105,honda,1068.0,10.0,6.0,2008,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,19.0,58.0,qat - losail international circuit,2569875.0,MotoGP
106,honda,607.0,8.0,6.0,2008,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,23.0,26.0,spa - circuito de jerez,2763570.0,MotoGP
107,honda,674.0,9.0,5.0,2008,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,26.0,38.0,fra - le mans,2693194.0,MotoGP
108,honda,1047.0,8.0,6.0,2008,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,39.0,34.0,cat - circuit de barcelona-catalunya,2593068.0,MotoGP
109,honda,487.0,12.0,6.0,2008,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,24.0,62.0,ned - tt circuit assen,2559683.0,MotoGP
110,honda,700.0,3.0,10.0,2008,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,wet,17.0,82.0,ger - sachsenring,2892079.0,MotoGP
111,honda,636.0,8.0,6.0,2008,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,29.0,33.0,cze - automotodrom brno,2647663.0,MotoGP
112,honda,530.0,10.0,6.0,2008,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,48.0,29.0,rsm - misano world circuit marco simoncelli,2709475.0,MotoGP
113,honda,762.0,8.0,6.0,2008,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,23.0,51.0,jpn - twin ring motegi,2615818.0,MotoGP
114,honda,920.0,10.0,5.0,2008,16.0,164.0,110.9,15.0,andrea dovizioso,12.875862068965517,dry,42.0,25.0,mal - sepang international circuit,2594543.0,MotoGP
115,honda,876.0,5.0,9.0,2008,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,34.0,41.0,val - circuit ricardo tormo,2830273.0,MotoGP
116,honda,1068.0,10.0,6.0,2007,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,47.0,16.0,qat - losail international circuit,2436451.0,250cc
117,honda,607.0,8.0,6.0,2007,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,32.0,12.0,spa - circuito de jerez,2736324.0,250cc
118,honda,674.0,9.0,5.0,2007,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,21.0,37.0,fra - le mans,2592393.0,250cc
119,honda,1047.0,8.0,6.0,2007,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,38.0,12.0,cat - circuit de barcelona-catalunya,2462216.0,250cc
120,honda,487.0,12.0,6.0,2007,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,29.0,45.0,ned - tt circuit assen,2443852.0,250cc
121,honda,700.0,3.0,10.0,2007,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,38.0,31.0,ger - sachsenring,2477487.0,250cc
122,honda,636.0,8.0,6.0,2007,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,32.0,43.0,cze - automotodrom brno,2472662.0,250cc
123,honda,762.0,8.0,6.0,2007,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,wet,23.0,95.0,jpn - twin ring motegi,2913478.0,250cc
124,honda,920.0,10.0,5.0,2007,16.0,164.0,110.9,15.0,andrea dovizioso,12.875862068965517,dry,38.0,48.0,mal - sepang international circuit,2625204.0,250cc
125,honda,876.0,5.0,9.0,2007,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,20.0,48.0,val - circuit ricardo tormo,2615229.0,250cc
126,honda,607.0,8.0,6.0,2006,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,30.0,23.0,spa - circuito de jerez,2766255.0,250cc
127,honda,1068.0,10.0,6.0,2006,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,44.0,13.0,qat - losail international circuit,2490023.0,250cc
128,honda,674.0,9.0,5.0,2006,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,19.0,39.0,fra - le mans,2622871.0,250cc
129,honda,1047.0,8.0,6.0,2006,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,45.0,31.0,cat - circuit de barcelona-catalunya,2488179.0,250cc
130,honda,487.0,12.0,6.0,2006,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,25.0,16.0,ned - tt circuit assen,2439011.0,250cc
131,honda,700.0,3.0,10.0,2006,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,28.0,17.0,ger - sachsenring,2494371.0,250cc
132,honda,636.0,8.0,6.0,2006,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,32.0,22.0,cze - automotodrom brno,2491711.0,250cc
133,honda,920.0,10.0,5.0,2006,16.0,164.0,110.9,15.0,andrea dovizioso,12.875862068965517,dry,47.0,25.0,mal - sepang international circuit,2600927.0,250cc
134,honda,762.0,8.0,6.0,2006,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,45.0,14.0,jpn - twin ring motegi,2620840.0,250cc
135,honda,876.0,5.0,9.0,2006,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,40.0,10.0,val - circuit ricardo tormo,2650752.0,250cc
136,honda,607.0,8.0,6.0,2005,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,24.0,18.0,spa - circuito de jerez,2773218.0,250cc
137,honda,674.0,9.0,5.0,2005,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,18.0,74.0,fra - le mans,2576706.0,250cc
138,honda,1047.0,8.0,6.0,2005,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,29.0,13.0,cat - circuit de barcelona-catalunya,2500025.0,250cc
139,honda,487.0,12.0,6.0,2005,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,22.0,40.0,ned - tt circuit assen,2294502.0,250cc
140,honda,700.0,3.0,10.0,2005,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,30.0,18.0,ger - sachsenring,2506435.0,250cc
141,honda,636.0,8.0,6.0,2005,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,21.0,41.0,cze - automotodrom brno,2493415.0,250cc
142,honda,762.0,8.0,6.0,2005,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,39.0,11.0,jpn - twin ring motegi,2643508.0,250cc
143,honda,1068.0,10.0,6.0,2005,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,48.0,11.0,qat - losail international circuit,2485231.0,250cc
144,honda,876.0,5.0,9.0,2005,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,28.0,15.0,val - circuit ricardo tormo,2656524.0,250cc
145,honda,1068.0,10.0,6.0,2018,12.0,166.6,118.4,16.0,marc marquez,19.45045045045045,dry,23.0,46.0,qat - losail international circuit,2554681.0,MotoGP
146,honda,1076.0,9.0,5.0,2018,16.0,172.7,120.2,14.0,marc marquez,19.45045045045045,wet,23.0,94.0,arg - termas de río hondo,2480202.0,MotoGP
147,honda,1200.0,9.0,11.0,2018,15.0,158.4,110.3,20.0,marc marquez,19.45045045045045,dry,35.0,45.0,ame - circuit of the americas,2512002.0,MotoGP
148,honda,607.0,8.0,6.0,2018,11.0,161.2,110.6,14.0,marc marquez,19.45045045045045,dry,40.0,41.0,spa - circuito de jerez,2499678.0,MotoGP
149,honda,674.0,9.0,5.0,2018,13.0,161.8,113.0,14.0,marc marquez,19.45045045045045,dry,45.0,41.0,fra - le mans,2509773.0,MotoGP
150,honda,1047.0,8.0,6.0,2018,12.0,164.4,111.0,14.0,marc marquez,19.45045045045045,dry,45.0,51.0,cat - circuit de barcelona-catalunya,2418045.0,MotoGP
151,honda,487.0,12.0,6.0,2018,14.0,173.1,118.1,18.0,marc marquez,19.45045045045045,dry,40.0,32.0,ned - tt circuit assen,2473863.0,MotoGP
152,honda,700.0,3.0,10.0,2018,12.0,160.6,110.1,13.0,marc marquez,19.45045045045045,dry,48.0,48.0,ger - sachsenring,2465019.0,MotoGP
153,honda,636.0,8.0,6.0,2018,15.0,165.5,113.5,14.0,marc marquez,19.45045045045045,dry,41.0,44.0,cze - automotodrom brno,2468096.0,MotoGP
